id,movie_id,person_id
409,88794,390822
410,1601913,138620
411,1085492,2357819
412,1925431,57106
413,218967,711840
414,1675192,2158772
415,3672742,2379331
416,3672742,2377436
417,3672742,2375643
418,5580036,318916
419,5884234,1921345
420,6644200,1024677
421,377713,53228
422,92718,711114
423,1798709,5069
424,4287348,1360971
425,4255304,2860882
426,4255304,2725627
427,113419,568
428,3465916,117698
429,98258,1081
430,88128,455
431,4083572,2721926
432,69704,184
433,88847,455
434,116483,240797
435,90305,455
436,2452200,1170339
437,5580536,1921345
438,1291570,4139472
439,1285009,1266897
440,5442456,810706
441,284837,617042
442,478970,715636
443,3532216,510731
444,118689,809321
445,1037705,400436
446,1037705,400441
447,119174,399
448,2709768,719208
449,2709768,155528
450,120780,1752
451,67023,229
452,407887,217
453,110066,589168
454,1637688,629272
455,5751998,1532523
456,5751998,1534497
457,74483,267309
458,107985,827663
459,1590193,1429471
460,2394063,1042822
461,109445,3620
462,3960240,2361811
463,7256866,2634746
464,1603257,3360080
465,2885364,1281
466,93437,1708
467,3885524,1231757
468,83929,2132
469,2283362,440458
470,1453405,768959
471,112401,1149
472,4281724,2093171
473,5792472,1811747
474,380601,154104
475,6598626,372366
476,1082886,1349522
477,104029,868219
478,289765,711840
479,488120,387706
480,144117,240627
481,4227282,46480
482,97493,499724
483,110763,402563
484,110763,2653
485,439815,348181
486,1981677,601337
487,389860,178997
488,1337032,154104
489,430922,906476
490,2452386,122427
491,3387542,4941030
492,250687,958387
493,7668870,3792134
494,82340,118
495,1959563,400850
496,96256,118
497,498399,336695
498,2402157,2044
499,1091722,609549
500,119978,338
501,313443,2083
502,55614,730385
503,55614,936404
504,3316948,1294036
505,3986820,1918140
506,3986820,1823264
507,268978,165
508,1961175,191147
509,4738360,310168
510,259484,831690
511,4976192,787135
512,217869,796117
513,112722,750
514,112508,205542
515,305224,781842
516,327056,142
517,120484,178997
518,85407,343
519,105112,637518
520,1502407,337773
521,3331028,1174169
522,120888,178997
523,117998,957
524,5664636,1847738
525,2316204,631
526,101540,217
527,7149916,744794
528,3416742,1318596
529,3416742,169806
530,1899353,2153088
531,131857,1878
532,90329,1837
533,114814,1741
534,5657856,951975
535,2891174,1023919
536,94291,231
537,8361028,3771823
538,4428728,2182866
539,958860,1338
540,5052474,1356588
541,93822,1054
542,93822,1053
543,2709692,155528
544,2709692,608714
