id,movie_id,watch_date,rating,method
236,1622979,2017-09-17,5,DVD
237,206314,2017-09-17,5,DVD
238,1274586,2017-09-18,5,DVD
239,113118,2017-09-20,5,DVD
240,195945,2017-09-21,5,DVD
241,1242460,2017-09-22,5,NF
242,1939659,2017-09-23,5,DVD
243,3480796,2017-09-24,5,DVD
244,50307,2017-09-24,6,NF
245,293815,2017-09-25,5,DVD
246,278295,2017-09-25,5,DVD
247,804461,2017-10-07,5,NF
248,2230358,2017-10-08,4,NF
249,3748172,2017-10-08,5,NF
250,91106,2017-10-15,6,NF
251,4146622,2017-10-15,2,NF
252,5723286,2017-10-22,5,NF
253,452623,2017-10-23,5,NF
254,86465,2017-10-27,6,NF
256,4225622,2017-10-29,5,NF
257,3348730,2017-10-30,3,CMA
258,5308322,2017-10-31,6,CMA
259,190138,2017-11-04,5,NF
260,2090465,2017-11-05,4,NF
255,399295,2017-10-29,5,NF
261,123755,2017-11-08,6,NF
262,117333,2017-11-11,5,NF
62,264616,2016-12-20,5,NL
63,2084970,2016-12-22,7,NL
64,62467,2016-12-22,6,NL
157,1320253,2017-05-02,1,UGL
161,4276820,2017-05-20,7,RedBox
203,1941442,2017-08-23,7,NL
263,5715874,2017-11-12,5,JoCr
264,2597768,2017-11-12,6,NF
265,110955,2017-11-13,6,NF
266,1308729,2017-11-17,5,NF
267,98536,2017-11-17,6,NF
268,2937366,2017-11-18,5,NF
269,4728386,2017-11-19,4,NF
270,1456635,2017-11-19,5,NF
271,4769836,2017-11-20,5,NF
272,3402236,2017-11-24,6,ChDI
273,5027774,2017-11-26,5,JoCr
274,116126,2017-11-27,5,NF
275,4998772,2017-11-28,5,NF
276,5809020,2017-11-29,6,NF
277,285492,2017-11-30,5,NF
278,4961380,2017-12-01,3,NF
279,303361,2017-12-02,4,NF
280,91541,2017-12-03,7,NF
281,1704573,2017-12-03,6,NF
282,1132285,2017-12-04,5,NF
283,120831,2017-12-05,5,NF
284,210070,2017-12-08,4,NF
285,3521126,2017-12-09,6,JoCr
286,3255590,2017-12-09,6,NF
287,3280262,2017-12-10,3,NF
288,1748197,2017-12-10,4,NF
289,4372390,2017-12-11,7,NF
290,3501112,2017-12-12,6,NF
291,3908142,2017-12-13,5,NF
292,2380564,2017-12-14,4,NF
293,92513,2017-12-15,7,NF
294,97165,2017-12-16,5,NF
295,3155328,2017-12-17,5,NF
296,4163224,2017-12-18,5,NF
297,96163,2017-12-19,4,NF
298,4572514,2017-12-21,6,RedBox
299,3470600,2017-12-22,6,RedBox
300,111070,2017-12-23,6,NF
301,4443658,2017-12-23,4,RedBox
302,96061,2017-12-24,6,TV
303,4530884,2017-12-28,2,NF
304,112697,2017-12-29,4,NF
305,2417712,2017-12-30,5,NF
306,95519,2017-12-31,5,NF
307,1785635,2018-01-02,5,NF
308,1547234,2018-01-05,6,NF
309,119310,2018-01-06,7,NF
310,5189770,2018-01-06,4,NF
311,3654796,2018-01-07,4,NF
312,109190,2018-01-07,7,NF
313,817538,2018-01-08,7,NF
314,187078,2018-01-10,6,NF
315,814022,2018-01-11,5,DVD
316,5539052,2018-01-12,6,NF
317,810900,2018-01-13,6,NF
318,5460530,2018-01-14,5,NF
319,219965,2018-01-14,5,NF
320,478087,2018-01-15,6,NF
321,4303340,2018-01-16,5,NF
322,1512235,2018-01-17,5,NF
323,1706593,2018-01-20,5,NF
324,910970,2018-01-24,6,NF
325,470752,2018-01-25,6,NF
326,486946,2018-01-26,7,NF
327,107048,2018-01-27,6,NF
328,139654,2018-01-28,6,NF
329,5653514,2018-01-28,5,NF
330,457510,2018-01-30,6,NF
331,3289956,2018-02-03,5,NF
332,2937898,2018-02-04,5,NF
333,5833186,2018-02-05,5,NF
334,3393786,2018-02-10,5,NF
335,2389182,2018-02-11,5,NF
336,468489,2018-02-12,6,NF
337,3395184,2018-02-14,7,NF
338,4382824,2018-02-17,5,NF
339,5439796,2018-02-18,5,NF
340,5112578,2018-02-19,5,NF
341,464154,2018-02-20,5,NF
342,5120400,2018-02-22,1,NF
343,4929038,2018-02-24,5,NF
344,4954522,2018-02-24,4,NF
345,2724064,2018-02-24,5,NF
346,1714203,2018-03-01,4,NF
347,1727885,2018-03-03,4,NF
348,1780798,2018-03-04,4,NF
349,120768,2018-03-04,6,NF
350,6288694,2018-03-05,5,NF
351,340163,2018-03-06,5,NF
352,119432,2018-03-09,5,NF
353,6204340,2018-03-10,5,NF
354,3481634,2018-03-11,4,NF
355,1798684,2018-03-11,5,NF
357,4925292,2018-03-14,5,NF
358,424345,2018-03-15,5,DVD
359,5466186,2018-03-16,6,JoCr
360,5716380,2018-03-16,5,NF
361,118570,2018-03-17,6,NF
362,104437,2018-03-18,6,NF
363,202677,2018-03-19,5,NF
364,2277860,2018-03-20,5,NF
365,103786,2018-03-21,6,NF
366,2101441,2018-03-22,5,NF
367,4335650,2018-03-24,3,NF
368,462519,2018-03-24,6,NF
369,2883448,2018-03-25,5,NF
370,3606752,2018-03-26,5,NF
371,3229488,2018-03-27,5,NF
372,66999,2018-03-28,6,NF
373,92695,2018-04-06,6,NF
374,114369,2018-04-07,5,NF
375,75314,2018-04-08,5,NF
376,332379,2018-04-12,8,DVD
377,962726,2018-04-15,6,NF
378,106856,2018-04-16,5,NF
379,6684714,2018-04-19,5,NF
380,97523,2018-04-22,6,NF
381,119488,2018-04-22,5,NF
382,94894,2018-04-29,6,NF
383,1719634,2018-04-29,5,NF
384,266465,2018-05-02,5,NF
385,113277,2018-05-05,5,NF
386,88794,2018-05-06,7,NF
387,1601913,2018-05-09,6,NF
388,1085492,2018-05-09,5,DVD
389,1925431,2018-05-12,5,DVD
390,218967,2018-05-12,7,NF
391,1675192,2018-05-16,5,NF
392,3672742,2018-05-19,6,NF
393,5580036,2018-05-20,6,NF
394,5884234,2018-05-20,5,NF
395,6644200,2018-05-27,5,JoCr
396,486946,2018-05-27,7,NF
397,377713,2018-05-28,5,NF
398,92718,2018-05-28,6,NF
399,1798709,2018-06-10,3,NF
400,4287348,2018-06-10,5,NF
401,4255304,2018-06-12,4,NF
402,113419,2018-06-13,6,NF
403,3465916,2018-06-17,4,NF
404,98258,2018-06-23,6,NF
405,88128,2018-06-30,6,NF
406,4083572,2018-07-01,5,NF
407,69704,2018-07-08,5,NF
408,88847,2018-07-15,6,NF
409,116483,2018-07-19,7,NF
410,90305,2018-07-22,5,NF
411,2452200,2018-07-24,5,NF
412,5580536,2018-07-26,5,NF
413,1291570,2018-07-28,5,NF
414,1285009,2018-07-29,2,RedBox
416,5442456,2018-07-30,6,NF
417,284837,2018-08-01,4,NF
418,478970,2018-08-05,5,NF
419,3532216,2018-08-05,6,NF
420,118689,2018-08-09,7,NF
421,1037705,2018-08-10,5,NF
422,79844,2018-08-12,5,NF
423,119174,2018-08-12,6,NF
424,2709768,2018-08-13,6,NF
425,120780,2018-08-14,5,NF
426,67023,2018-08-16,6,TV
427,407887,2018-08-17,6,NF
428,110066,2018-08-19,8,NF
429,1637688,2018-08-20,5,DVD
430,5751998,2018-08-21,5,NF
431,74483,2018-08-23,5,NF
432,107985,2018-08-24,6,NF
433,1590193,2018-08-25,6,RedBox
434,2394063,2018-08-26,5,NF
435,109445,2018-08-27,5,NF
436,3960240,2018-08-28,6,NF
437,7256866,2018-08-28,5,NF
438,1603257,2018-08-29,5,NF
439,2885364,2018-08-30,5,NF
440,93437,2018-08-31,5,NF
