id,movie_id,company_id
208,1867093,253942
209,4172430,23400
210,4172430,70636
211,4172430,49752
212,4172430,88656
213,4172430,181591
214,3733774,303030
215,3733774,482754
216,3733774,209925
217,3733774,481625
218,3733774,373555
219,3733774,270629
220,3733774,518238
221,3733774,491058
222,1124037,316867
223,1124037,506124
224,1124037,235528
225,1124037,18471
226,3065204,46718
227,3065204,449458
228,3065204,179825
229,3065204,504531
230,3065204,179990
231,3682448,819670
232,3682448,17497
233,3682448,336601
234,3682448,132772
235,3682448,420822
236,3682448,9119
237,3682448,93810
238,3682448,53177
239,3647498,173285
240,3647498,49689
241,3647498,24845
242,3882082,5323
243,3882082,249694
244,3882082,99734
245,3882082,84207
246,3799694,2663
247,3799694,19968
248,3799694,353060
249,3799694,355965
250,3799694,87854
251,3799694,572995
252,3917210,152564
253,3917210,301328
254,3917210,318641
255,3687398,222800
256,3687398,143583
257,3687398,517964
258,264616,57460
259,264616,20377
260,264616,18947
261,264616,1006
262,2084970,319513
263,2084970,251858
264,2084970,457197
265,2084970,544767
266,2084970,150452
267,2084970,632400
268,2084970,363633
269,62467,2663
270,780504,314851
271,780504,135575
272,780504,113140
273,780504,93810
274,780504,360145
275,780504,356542
276,780504,758832
277,91474,46277
278,91474,70108
279,1602613,402600
280,1602613,172053
281,1602613,24845
282,1602613,360145
283,1602613,1935
284,1602613,581722
285,1602613,212003
286,1602613,404626
287,1602613,113606
288,1602613,4166
289,1740707,23617
290,1740707,234299
291,1740707,2093
292,1740707,9436
293,1740707,382705
294,1401143,244225
295,1401143,281599
296,1401143,13255
297,1401143,247083
298,1401143,293292
299,1401143,278851
300,1401143,14706
301,1401143,238491
302,1401143,13526
303,95016,756
304,95016,119038
305,95016,19968
306,3322364,479739
307,3322364,259281
308,3322364,562694
309,3322364,86328
310,3322364,108864
311,1895587,132772
312,1895587,732581
313,1895587,17525
314,1895587,299281
315,1895587,178575
316,1895587,51618
317,1895587,478896
318,23245,5073
319,455944,50868
320,455944,479739
321,455944,108864
322,455944,35535
323,455944,418236
324,455944,26101
325,455944,183889
326,51285,103220
327,2713180,50868
328,2713180,178111
329,2713180,479739
330,2713180,307345
331,2713180,146364
332,2713180,99734
333,1542344,28932
334,1542344,22869
335,1542344,64141
336,1542344,265704
337,1542344,333799
338,1542344,130
339,1542344,174373
340,1542344,197272
341,1542344,283574
342,2980516,57311
343,2980516,4617
344,2980516,55529
345,80516,5955
346,1278449,202871
347,1278449,142690
348,1278449,60132
349,1278449,59852
350,1278449,24845
351,1278449,152308
352,1278449,258094
353,1278449,339466
354,1278449,48411
355,1278449,1935
356,1278449,114907
357,1278449,107532
358,1278449,4166
359,1278449,777321
360,1278449,48118
361,1278449,79546
362,1278449,298454
363,2948356,8970
364,2948356,74039
365,289043,103974
366,289043,104387
367,1985949,50868
368,1985949,556015
369,1985949,358927
370,69995,103444
371,69995,53419
372,69995,229251
373,2911666,46206
374,2911666,172670
375,2911666,224994
376,2911666,453771
377,2911666,490386
378,2911666,212862
379,2911666,99734
380,2911666,97671
381,2911666,528655
382,2911666,197542
383,1278340,221927
384,1278340,33686
385,1278340,278851
386,1278340,248221
387,1278340,196178
388,1278340,204420
389,1278340,180408
390,1655442,210188
391,1655442,6560
392,1655442,169450
393,1655442,338599
394,1655442,44140
395,1655442,305664
396,1655442,318083
397,1655442,28557
398,1655442,28908
399,1655442,125554
400,1655442,169751
401,50212,103190
402,2359024,153703
403,2359024,160719
404,2359024,395263
405,2359024,429818
406,39420,756
407,46876,21358
408,1132620,156964
409,1132620,38987
410,1132620,79546
411,1132620,137854
412,1132620,78814
413,1132620,274834
414,1132620,1935
415,1132620,346545
416,1132620,48118
417,1132620,113606
418,1132620,48411
419,1132620,799294
420,1132620,35146
421,1132620,20824
422,3416532,132772
423,3416532,120121
424,3416532,619814
425,3416532,287460
426,3416532,561265
427,3416532,46206
428,3077214,104115
429,3077214,22869
430,3077214,197272
431,3077214,37450
432,3077214,28557
433,3077214,346444
434,3077214,209925
435,3077214,68747
436,3077214,566873
437,90605,756
438,90605,132161
439,90605,41067
440,90605,142386
441,3783958,46206
442,3783958,410488
443,3783958,610132
444,3783958,449425
445,3783958,249085
446,3783958,93810
447,1172570,113509
448,1172570,203328
449,1172570,250100
450,1172570,91923
451,1172570,231406
452,1172570,798920
453,1172570,211009
454,1172570,228888
455,1172570,219021
456,49366,23951
457,49366,35064
458,59646,103330
459,59646,137938
460,46359,23400
461,3835080,488623
462,3835080,37203
463,3835080,228888
464,3835080,215893
465,3835080,596769
466,3835080,384378
467,23694,553623
468,21884,5073
469,117407,67238
470,4276820,150452
471,4276820,251858
472,4276820,273107
473,4276820,336582
474,52561,126913
475,4972582,5073
476,4972582,54054
477,4972582,98315
478,4972582,169264
479,4972582,55529
480,4972582,79995
481,34587,41421
482,91064,142386
483,91064,858
484,110148,120075
485,26138,5073
486,1259574,103747
487,1259574,87854
488,1259574,103733
489,1259574,91941
490,1260581,103747
491,1260581,87854
492,1260581,103733
493,1260581,91941
494,1259573,103747
495,1259573,87854
496,1259573,103733
497,1259573,91941
498,2085910,373121
499,2085910,176814
500,99871,94459
501,2494362,228420
502,2494362,463954
503,2494362,642616
504,2494362,632419
505,2494362,642617
506,2494362,178319
507,34398,5073
508,2375574,197272
509,2375574,334327
510,3086442,151099
511,3086442,10329
512,3086442,326911
513,3086442,44989
514,3086442,12723
515,21814,5073
516,49406,3625
517,4425200,46206
518,4425200,610132
519,4425200,172670
520,4425200,224994
521,4425200,243191
522,4425200,378201
523,4425200,751457
524,4425200,560664
525,4425200,173285
526,4273292,394798
527,4273292,317989
528,66921,2663
529,66921,734629
530,66921,113563
531,66921,59123
532,66921,67017
533,96071,5073
534,318034,155266
535,318034,43974
536,318034,43735
537,318034,63806
538,318034,130222
539,318034,56044
540,318034,72082
541,318034,237938
542,318034,33715
543,318034,84172
544,318034,52417
545,318034,74651
546,318034,214258
547,318034,35146
548,318034,244153
549,318034,101880
550,318034,86504
551,318034,29217
552,318034,22292
553,181875,50868
554,181875,819670
555,181875,47730
556,119081,24200
557,119081,14411
558,119081,23400
559,245712,133276
560,245712,7410
561,77745,88143
562,365376,979
563,365376,21371
564,365376,66014
565,947798,28932
566,947798,285648
567,947798,62935
568,947798,29574
569,947798,174373
570,5052448,5073
571,5052448,98315
572,5052448,555595
573,5052448,369235
574,5052448,169264
575,5052448,55529
576,93605,18415
577,93605,76587
578,2326554,284714
579,2326554,440557
580,2326554,408249
581,2326554,454380
582,1144884,46718
583,1144884,172687
584,1144884,236019
585,1144884,179834
586,2582782,47306
587,2582782,15447
588,2582782,113140
589,2582782,152188
590,2582782,368761
591,2582782,758832
592,76786,50853
593,1742044,490624
594,1742044,209646
595,1742044,10258
596,1742044,430860
597,1742044,449458
598,1742044,2663
599,283877,60306
600,396184,118213
601,396184,60132
602,120586,46718
603,120586,74787
604,120586,23612
605,425379,48411
606,425379,60132
607,425379,54911
608,425379,157418
609,425379,79694
610,32910,74039
611,32910,98836
612,58997,167772
613,2209418,273107
614,2209418,402483
615,2209418,40620
616,2209418,123642
617,1049413,17902
618,1049413,8970
619,1398426,5073
620,1398426,159111
621,1398426,46718
622,1398426,44714
623,1398426,49027
624,1398426,600293
625,1398426,90153
626,1398426,109042
627,1263670,28932
628,1263670,242459
629,1263670,73152
630,1185836,238585
631,1185836,279773
632,1185836,278262
633,1185836,115759
634,1185836,146502
635,4158096,197272
636,4158096,228888
637,4158096,334327
638,120102,33437
639,120102,9331
640,120102,48014
641,120102,92623
642,2349144,326604
643,2349144,366362
644,2349144,96354
645,2349144,462648
646,3686998,252750
647,1661199,446409
648,1661199,465725
649,1661199,301801
650,1661199,8970
651,1320253,2572
652,1320253,2572
653,1320253,148026
654,1320253,122265
655,1320253,142444
656,1320253,72847
657,1320253,237053
