id,name
165636,Todd Phillips Company
425992,Bardha Productions
260906,Nickname Projects
113043,Bader Bros. Pictures
528453,Killion Street
448466,Hoplite Entertainment
5875,Hyperion Pictures
94849,The Kushner-Locke Company
78943,Cecchi Gori Pictures
43545,Juno Pix
43923,Bill/Phillips
13906,Italo/Judeo Productions
67370,MFP Munich Film Partners GmbH & Company I. Produktions KG
206850,New Century
206908,Sor Productions
250462,Borden and Rosenbush Entertainment
21159,Alcor Films
530439,Lionsgate Premiere
742274,Colecar Productions
619986,River Bay Films
377363,Tri-Fold Pictures
49620,Doric Productions
89381,The Wolper Organization
336432,Fuzzy Logic Pictures
130509,"""DIA"" Productions GmbH & Co. KG"
130510,Joseph Nittolo Entertainment
38281,Newman/Tooley Films
35930,Forward Pass
79747,Art Linson Productions
62005,A&M Films
123634,CBS Theatrical Films
342335,Open Road Films (II)
119195,Inferno Distribution
192696,LD Entertainment
288042,Chambara Pictures
340618,1984 Private Defense Contractors
457724,Union Investment Partners
242732,Envision Entertainment
24345,Industry Entertainment
651857,Boss Collaboration
712530,Gosdom Entertainment
519475,Knightsbridge Entertainment
376562,LDMP
64908,Beacon Communications
9876,Riche-Ludwig Productions
182150,Howard Rosenman Productions
109632,Hydraulx
376329,REI Capital
307251,Grove Hill Productions
256591,Strange Matter Films
334469,EMA Films
222455,Epic Pictures Group
341402,Timpson Films
637285,Clubhouse Pictures
312433,"Georgia Film, Music & Digital Entertainment Office"
542434,LuckyChap Entertainment
578641,beIN Media Group
784469,Arboretum Productions
163323,Brookstreet Pictures
437328,The Fyzz Facility
638705,Kirk Shaw Productions
149632,Sunday Night
109435,Mad Circus Films
86772,Lions Gate Entertainment
16889,Mr. X
111290,Cube Forward Productions Corp.
55339,Apollo Pictures
73759,The Mount Company
222021,Stage 6 Films
186146,Hollywood Media Bridge
419980,Racer Entertainment
147434,120dB Films
201838,Cave Painting Pictures
496439,JoBro Productions & Film Finance
235242,The Salt Company International
48322,Jane Startz Productions
154947,Reliable Pictures Corporation
12870,Scholastic Productions
13175,The Kennedy/Marshall Company
164664,ARTE
59546,Cine Plus
445695,Deutscher Filmförderfonds
194428,Filmförderung Baden-Württemberg
47104,Südwestrundfunk
10760,UFA Fiction
79774,Channel Productions
501984,Blackmrkt
503460,Europictures
229781,WeatherVane Productions
