id,name
1176867,Elizabeth Whitmere
2290763,Victor Cornfoot
5359002,Lucas Kelly
4718273,Emily Burley
1873018,Matthew Stefiuk
5380568,Michael Riendeau
5371671,Miller Timlin
1952213,Robert Reynolds
4842791,Antonio Najera
7195766,Alex Pacheco
7970761,Walter Pacheco
531788,John MacDonald
22872,Allen Altman
2733641,Sarah Scheffer
3918839,Nathan Boucher
4050931,Abigail Lieff
1618,Joaquin Phoenix
1254,James Gandolfini
372217,Anthony Heald
61777,Chris Bauer
1416,Catherine Keener
141839,Myra Carter
607920,Amy Morton
694158,Jenny Powell
125988,Anne Gee Byrd
79439,Jack Betts
650406,Luis Oropeza
802019,Rachel Singer
187199,Don Creech
5342,Norman Reedus
71754,Fran Bennett
94335,Wilma Bonet
756251,Luis Saguar
430219,Walter K. Jordan
174063,Norm Compton
751049,Brian Keith Russell
730208,John Robb
113411,Devan Brown
107570,Doris Brent
24839,Robert Amico
591126,Eva Minemar
938125,Rachel Wolfe
620232,Suzy Nakamura
212965,Tahitia Dean
481993,Texas Terri
346672,Vernon Guichard II
665849,Emily Patrick
891698,Nancy Vee
888460,Lisa Vanasco
893521,Bridgett Vera
364838,Jennifer Harris
723998,Burton Richards
900023,Jovanna Vitiello
6673,David U. Hodges
533105,William Lawrence Mack
553613,Lorena M. Santos
580514,Connie Mercurio
118434,William Buck
179342,Kerry Corcoran
845079,Mario Ernesto Sánchez
37030,Claudia Aros
16260,Alba Albanese
1289418,Sorita Andrade
3928,Bob Clendenin
1563312,Vito D'Amico
215013,Daniel Dehring
3841518,Sammy Espinoza
285607,Deborah Smith Ford
308444,Mary Catherine Garrison
7637394,Bodo Goerisch
26759,Gilley Grey
509115,Jacklyn Lick
9597946,Carla Moon
703748,Al Quinn
712826,Frankie Ray
741098,Louis E. Rosas
1728848,Kipling Rowe
9796849,Douglas Dean Taylor
1708,Joel Schumacher
1825,Andrew Kevin Walker
237,John Travolta
260,Joan Allen
5273,Alessandro Nivola
153,Gina Gershon
663,Dominique Swain
1024,Nick Cassavetes
696193,Harve Presnell
272173,Colm Feore
2253,John Carroll Lynch
1634,CCH Pounder
936298,Robert Wisdom
158632,Margaret Cho
219835,James Denton
743671,Matt Ross
420308,Myles Jeffrey
567306,David McCurley
5048,Thomas Jane
281107,Tommy Flanagan
807817,Dana Smith
934806,Romy Walthall
4272,Paul Hipp
51257,Kirk Baltz
801664,Lauren Sinclair
715314,Ben Reed
102288,Lisa Boyle
389005,Linda Hoffman
5194,Danny Masterson
733782,Michael Rocha
666922,Megan Paul
108273,Mike Werb
721980,Tom Reynolds
405337,Steve Hytner
858593,Carmen Thomas
89185,John Bloom
778780,Walter Scott
504072,Brooke Leslie
104036,Cam Brainard
913175,David Warshofsky
624621,John Neidlinger
790105,Gregg Shawzin
251877,Clifford Einstein
477498,Marco Kyris
294902,Tom Fridley
1392183,Andrew Wallace
735350,Jacinto Rodriguez
199594,Chic Daniel
909738,Laurence Walsh
10576793,Darren Pele
1469349,Joan Beal
1406053,Tony Boldi
129244,Neill Calabro
1737401,Jason Thomas Campbell
160636,Tory Christopher
2946581,Myron Kwong
1077195,John Leonhardt
562209,Isaac Mayanja
608121,William Morts
740951,Thomas Rosales Jr.
952174,Robert 'Bobby Z' Zajonc
952685,Del Zamora
247,John Woo
171718,Michael Colleary
7970762,Brandon Stoffer
933471,Gregory Wilson
651621,Bobby Osborne
5947036,Auden Larratt
7970763,Christopher O'Dell
7970764,Kai Knight
1393956,Claudia Jurt
1286858,Rachelle Casseus
7970765,Silvia Qi
7182915,Quinnie Vu
2164406,Jennie Esnard
7970766,Colm Cooney
7970767,Malakai Lawrence
3442411,Jodi Larratt
1289245,Jeff Lefebvre
1657200,Graham Reznick
7970768,Tor Fitzwilliams
1639328,Aaron Wesner
3149820,René Verón
2417670,Matt Oberg
744834,Eli Roth
6208628,Amy Balaton
2131965,Nicole Blundell
5762077,Marie-Noé Charbonneau
4849732,Jocelyn Deighton
4257502,Dan Demarbre
4855128,Jen Julien
2821408,Caeden Lawrence
6162613,Julia A. Long
4706682,Pamela Masey
5599405,Rachel Nicole Shugar
4740801,Zhaida Uddin
1218281,Jon Watts
1755986,Christopher Ford
6902164,Roman Spink
2013981,David Anthony Buglione
5216150,Rick Moose
3507905,Nick Arapoglou
3965736,Angela Davis
315962,Johnny Giacalone
8507122,Richard Pearson
1722521,Eric Goins
212278,David de Vries
853024,Randall Taylor
1407651,Scott Poythress
7196614,Nicholas Martin
5553487,Samantha Janco
7457484,Joseph Levine
6903525,Cesar Mendoza
3434688,Zachary James Rukavina
8507123,Robert T. McKnight II
6262260,Angel Giuffria
8507124,Robert Kistenberg
1585355,Robert Hatch
7481699,Johnathan Blake
2728891,Jerry Cashman
6918437,Esther Cason
5821181,Jason Claspell
8099113,Anthony Collins
4188166,Daniel DiVenere
5016889,Gerald Duckworth
1698761,Daeg Faerch
5241466,Mark Falvo
4878522,Gregory Fears
6708940,Tahseen Ghauri
5526347,Jonathan Gibbons
7037334,Wesley Gordon
6612678,Keith Ham
2401762,Thayr Harris
5207528,Boualem Hassaine
8142205,Drew D. Haynes
4239141,Walter Hendrix III
7396207,Geoffrey Howard
5863701,Kimberly Hester Huffstetler
4230389,Scott Hunter
2502156,Alphonso A'Qen-Aten Jackson
413409,Duke Jackson
445022,Dennis Keiffer
6452996,Noah Hudson Killingbeck
5548632,Inder Kumar
6043800,Scott Ledbetter
4996266,Bruce Locke
1380890,Trey McGriff
7336683,Richard Morava
5563983,Brian Neal
1070038,Amir Perets
5038986,Petra Post
7700076,Letecia Reeder
7962004,Jay Romero
7216469,Lisa Shirley
8320352,Brent Sielaff
7414509,Crystal Spurlock
4558847,Doug Stroup
7848665,Leigh Takata
3412484,Jawad Talpur
6995244,Ruben Vidal
7198740,Ronald Wallace
5451254,Keonia Williams
5436143,Alex Zelenka
640334,Gavin O'Connor
4057793,Bill Dubuque
1483944,Dante E. Clark
171206,Rosalyn Coleman
3203018,Ellie Foumbi
1395882,Yvette Ganier
338676,Benton Greene
2014044,Jeremie Harris
1293330,Frances Lozada
3841697,Obatala Mawusi
2346569,Darius Clark Monroe
5500695,James O'Brien
1712362,Brian Satz
1898508,Nidra Sous la Terre
2479938,Vladimir Versailles
2551210,Max B. Young
187877,Robert X. Cringely
423418,Steve Jobs
1337218,Paul Sen
1798854,Marcus du Sautoy
10582312,Björn Bringert
10582313,Patrick Prosser
10582314,Leslie Ann Goldberg
10582315,David Manlove
5412430,Lloyd Shapley
10582316,Rachel Johnson
