id,movie_id,person_id
623,4443658,4362639
624,4443658,4362639
625,4443658,2577199
626,96061,322248
627,96061,640874
628,96061,2042
629,4530884,318319
630,112697,2132
631,2417712,59431
632,2417712,1241059
633,2417712,59431
634,95519,866063
635,1785635,124112
636,1785635,2965744
637,1547234,462895
638,1547234,436960
639,119310,2340
640,119310,951206
641,119310,619547
642,5189770,2409176
643,5189770,4932870
644,3654796,243233
645,3654796,2674307
646,109190,455
647,817538,3249
648,817538,736622
649,817538,455
650,187078,355181
651,187078,3298
652,814022,725034
653,814022,161152
654,814022,659380
655,5539052,285379
656,5539052,938645
657,810900,58302
658,810900,58302
659,5460530,542535
660,5460530,643093
661,219965,679037
662,478087,826042
663,478087,1615610
664,478087,583826
665,4303340,639376
666,4303340,5255735
667,4303340,7009590
668,1512235,348181
669,1706593,484840
670,1706593,484840
671,1706593,2503633
672,910970,4056
673,910970,230032
674,910970,4056
675,470752,307497
676,486946,178589
677,107048,748035
678,107048,601
679,107048,748035
680,139654,43742
681,5653514,1776860
682,5653514,3519659
683,457510,381478
684,457510,1415801
685,457510,925234
686,3289956,1968372
687,3289956,3915456
688,2937898,1170855
689,5833186,1494960
690,5833186,736155
691,5833186,1684253
692,3393786,921013
693,3393786,1880
694,3393786,380980
695,2389182,3616958
696,2389182,1094
697,2389182,351772
698,468489,281396
699,468489,1349818
700,3395184,1918140
701,4382824,4396670
702,4382824,2744027
703,5439796,39583
704,5112578,2049126
705,5112578,2431095
706,464154,1539257
707,464154,831457
708,5120400,1084328
709,4929038,735134
710,4954522,4469445
711,4954522,4469445
712,2724064,505736
713,1714203,1733317
714,1714203,1729303
715,1714203,812373
716,1727885,2947601
717,1727885,1656974
718,120768,218621
719,120768,289100
720,6288694,1107639
721,340163,186101
722,340163,724514
723,119432,658836
724,119432,508293
725,119432,32561
726,6204340,2099491
727,3481634,454573
728,1798684,1176676
729,1137450,138620
730,1137450,307257
731,1137450,562606
732,4925292,1950086
733,424345,3620
734,5466186,2954373
735,5716380,743555
736,118570,225235
737,118570,848496
738,118570,578850
739,104437,2340
740,104437,951206
741,104437,619547
742,202677,3160
743,2277860,4056
744,2277860,4056
745,2277860,835194
746,103786,455
747,103786,427468
748,2101441,5101
749,4335650,4806266
